Time,CPU Usage (%),Memory Usage (%)
2023-12-14 01:16:23,28.5,18.0
2023-12-14 01:16:24,29.2,17.9
2023-12-14 01:16:25,28.8,17.9
2023-12-14 01:16:26,28.3,17.9
2023-12-14 01:16:27,32.3,18.0
2023-12-14 01:16:28,32.5,17.9
2023-12-14 01:16:29,31.3,18.0
2023-12-14 01:16:30,30.9,18.0
2023-12-14 01:16:31,31.3,17.9
2023-12-14 01:16:32,31.0,18.0
2023-12-14 01:16:33,31.2,18.1
2023-12-14 01:16:34,30.9,17.9
2023-12-14 01:16:35,30.7,18.0
2023-12-14 01:16:36,31.1,18.0
2023-12-14 01:16:37,30.4,18.1
2023-12-14 01:16:38,30.0,18.1
2023-12-14 01:16:39,30.1,18.1
2023-12-14 01:16:40,30.6,17.9
2023-12-14 01:16:41,30.7,18.0
2023-12-14 01:16:42,31.0,18.0
2023-12-14 01:16:43,30.3,18.1
2023-12-14 01:16:44,29.9,18.1
2023-12-14 01:16:45,29.6,18.0
2023-12-14 01:16:46,29.5,18.2
2023-12-14 01:16:47,28.8,18.1
2023-12-14 01:16:48,29.2,18.2
2023-12-14 01:16:49,29.5,18.2
2023-12-14 01:16:50,30.6,17.9
2023-12-14 01:16:51,32.2,18.0
2023-12-14 01:16:52,32.8,18.1
2023-12-14 01:16:53,31.6,18.0
2023-12-14 01:16:54,33.0,18.1
2023-12-14 01:16:55,31.2,18.1
2023-12-14 01:16:56,28.9,18.2
2023-12-14 01:16:57,30.3,18.3
2023-12-14 01:16:58,30.7,18.1
2023-12-14 01:16:59,29.5,18.2
2023-12-14 01:17:00,30.7,18.1
2023-12-14 01:17:01,29.8,18.2
2023-12-14 01:17:02,31.3,18.2
2023-12-14 01:17:03,30.1,18.2
2023-12-14 01:17:04,31.6,18.2
2023-12-14 01:17:05,30.7,18.1
2023-12-14 01:17:06,30.8,18.1
2023-12-14 01:17:07,31.2,18.0
2023-12-14 01:17:08,31.3,18.2
2023-12-14 01:17:09,31.0,18.1
2023-12-14 01:17:10,29.7,18.2
2023-12-14 01:17:11,28.8,18.1
2023-12-14 01:17:12,28.7,18.3
2023-12-14 01:17:13,27.9,18.2
2023-12-14 01:17:14,29.1,18.3
2023-12-14 01:17:15,28.2,18.3
2023-12-14 01:17:16,28.0,18.4
2023-12-14 01:17:17,28.3,18.2
2023-12-14 01:17:18,27.3,18.2
2023-12-14 01:17:19,27.8,18.3
2023-12-14 01:17:20,28.6,18.3
2023-12-14 01:17:21,27.9,18.3
2023-12-14 01:17:22,27.9,18.2
2023-12-14 01:17:23,30.0,18.3
2023-12-14 01:17:24,27.5,18.1
2023-12-14 01:17:25,27.6,18.2
2023-12-14 01:17:26,27.9,18.2
2023-12-14 01:17:27,28.7,18.2
2023-12-14 01:17:28,28.9,18.3
2023-12-14 01:17:29,28.9,18.3
2023-12-14 01:17:30,27.7,18.3
2023-12-14 01:17:31,28.9,18.2
2023-12-14 01:17:32,27.8,18.3
2023-12-14 01:17:33,28.3,18.4
2023-12-14 01:17:34,28.2,18.3
2023-12-14 01:17:35,29.9,18.3
2023-12-14 01:17:36,28.8,18.2
2023-12-14 01:17:37,29.4,18.3
2023-12-14 01:17:38,30.0,18.3
2023-12-14 01:17:39,32.1,18.2
2023-12-14 01:17:40,31.7,18.3
2023-12-14 01:17:41,32.7,18.2
2023-12-14 01:17:42,32.4,18.3
2023-12-14 01:17:43,38.0,18.4
2023-12-14 01:17:44,38.7,18.4
2023-12-14 01:17:45,31.0,18.4
2023-12-14 01:17:46,31.3,18.5
2023-12-14 01:17:47,30.7,18.5
2023-12-14 01:17:48,34.7,18.5
2023-12-14 01:17:49,33.0,18.5
2023-12-14 01:17:50,30.4,18.4
2023-12-14 01:17:51,30.4,18.4
2023-12-14 01:17:52,28.0,18.4
2023-12-14 01:17:53,29.4,18.4
2023-12-14 01:17:54,35.2,18.4
2023-12-14 01:17:55,30.7,18.4
2023-12-14 01:17:56,29.7,18.5
2023-12-14 01:17:57,29.1,18.4
2023-12-14 01:17:58,29.4,18.5
2023-12-14 01:17:59,29.4,18.4
2023-12-14 01:18:00,28.3,18.3
2023-12-14 01:18:01,30.6,18.4
2023-12-14 01:18:02,29.5,18.5
2023-12-14 01:18:03,29.4,18.4
2023-12-14 01:18:04,28.3,18.3
2023-12-14 01:18:05,29.7,18.4
2023-12-14 01:18:06,30.1,18.5
2023-12-14 01:18:07,34.5,18.5
2023-12-14 01:18:08,29.9,18.6
2023-12-14 01:18:09,30.8,18.6
2023-12-14 01:18:10,30.5,18.5
2023-12-14 01:18:11,31.1,18.4
2023-12-14 01:18:12,30.2,18.5
2023-12-14 01:18:13,30.6,18.6
2023-12-14 01:18:14,30.0,18.5
2023-12-14 01:18:15,31.2,18.5
2023-12-14 01:18:16,30.4,18.5
2023-12-14 01:18:17,31.7,18.5
2023-12-14 01:18:18,32.2,18.5
2023-12-14 01:18:19,31.7,18.5
2023-12-14 01:18:20,31.0,18.5
2023-12-14 01:18:21,29.6,18.5
2023-12-14 01:18:22,31.9,18.6
2023-12-14 01:18:23,32.9,18.5
2023-12-14 01:18:24,31.5,18.5
2023-12-14 01:18:25,31.0,18.5
2023-12-14 01:18:26,30.1,18.5
2023-12-14 01:18:27,31.4,18.6
2023-12-14 01:18:28,31.8,18.5
2023-12-14 01:18:29,32.2,18.5
2023-12-14 01:18:30,33.6,18.6
2023-12-14 01:18:31,34.7,18.6
2023-12-14 01:18:32,33.6,18.7
2023-12-14 01:18:33,35.6,18.6
2023-12-14 01:18:34,34.2,18.7
2023-12-14 01:18:35,32.8,18.7
2023-12-14 01:18:36,31.1,18.7
2023-12-14 01:18:37,29.7,18.7
2023-12-14 01:18:38,31.0,18.7
2023-12-14 01:18:39,29.8,18.6
2023-12-14 01:18:40,29.7,18.6
2023-12-14 01:18:41,31.3,18.5
2023-12-14 01:18:42,29.7,18.7
2023-12-14 01:18:43,29.9,18.8
2023-12-14 01:18:44,30.6,18.7
2023-12-14 01:18:45,30.2,18.8
2023-12-14 01:18:46,33.8,18.7
2023-12-14 01:18:47,31.6,18.7
2023-12-14 01:18:48,33.1,18.6
2023-12-14 01:18:49,33.8,18.7
2023-12-14 01:18:50,31.5,18.7
2023-12-14 01:18:51,33.7,18.8
2023-12-14 01:18:52,32.2,18.8
2023-12-14 01:18:53,34.4,18.8
2023-12-14 01:18:54,33.7,18.7
2023-12-14 01:18:55,32.8,18.7
2023-12-14 01:18:56,30.9,18.7
2023-12-14 01:18:57,30.6,18.7
2023-12-14 01:18:58,29.5,18.7
2023-12-14 01:18:59,30.3,18.7
2023-12-14 01:19:00,29.8,18.7
2023-12-14 01:19:01,30.2,18.7
2023-12-14 01:19:02,30.2,18.8
2023-12-14 01:19:03,30.3,18.7
2023-12-14 01:19:04,30.1,18.7
2023-12-14 01:19:05,30.4,18.7
2023-12-14 01:19:06,30.8,18.7
2023-12-14 01:19:07,30.4,18.7
2023-12-14 01:19:08,30.3,18.7
2023-12-14 01:19:09,32.6,18.7
2023-12-14 01:19:10,32.2,18.8
2023-12-14 01:19:11,31.3,18.7
2023-12-14 01:19:12,32.4,18.8
2023-12-14 01:19:13,31.4,18.7
2023-12-14 01:19:14,31.9,18.8
2023-12-14 01:19:15,31.1,18.8
2023-12-14 01:19:16,32.4,18.9
2023-12-14 01:19:17,33.2,18.8
2023-12-14 01:19:18,32.2,18.8
2023-12-14 01:19:19,32.9,18.9
2023-12-14 01:19:20,32.1,18.9
2023-12-14 01:19:21,32.2,19.0
2023-12-14 01:19:22,31.5,19.1
2023-12-14 01:19:23,30.8,19.0
2023-12-14 01:19:24,32.2,18.9
2023-12-14 01:19:25,29.1,18.9
2023-12-14 01:19:26,29.8,18.9
2023-12-14 01:19:27,29.5,18.9
2023-12-14 01:19:28,29.5,19.0
2023-12-14 01:19:29,29.3,19.0
